Telefunken Remote Control Address: 0xBF00,,
Code,Command,
0x0,Num 1,
0x1,Num 2,
0x2,Num 3,
0x3,ON/OFF,
0x4,Num 4,
0x5,Num 5,
0x6,Num 6,
0x8,Num 7,
0x9,Num 8,
0xa,Num 9,
0xc,. (Decimal Point),
0xd,Num 0,
0xe,Return,
0x10,S. effect,
0x11,Audio effect,
0x14,CH+,
0x15,Mute,
0x16,Vol+,
0x18,CH-,
0x19,Sleep,
0x1a,Vol-,
0x1c,Menu,
0x1d,Arrow UP,
0x1e,Source,
0x40,Arrow LEFT,
0x41,OK,
0x42,Arrow RIGHT,
0x44,Exit,
0x45,Arrow DOWN,
0x46,Display,
0x48,Rec,
0x49,MTS,
0x4a,Subtitles,
0x4c,Zoom,
0x4e,Congelar ON/OFF,
0x52,Play/Pause,
0x53,Stop,
0x59,Guide,
0xd1,AV1,
0xd2,HDMI1,
,(missing HDMI2 code),
0xd4,VGA,
0xd5,Air,
0xd6,Component,
0xd7,I don't know,
0xf4,I don't know,
0xfd,I don't know,
